General information,Unnamed: 1,Source_File
UUID,55a13444-e072-4a55-8625-0e0ff6a98026,hydrogen_alkaline_electrolysis_at_plant_99_9_33_ba
Name,"hydrogen; alkaline electrolysis, at plant, 99.9%, 33 bar",hydrogen_alkaline_electrolysis_at_plant_99_9_33_ba
Category,NRC LCI/Hydrogen pathways/Hydrogen production,hydrogen_alkaline_electrolysis_at_plant_99_9_33_ba
Description,"This unit process produces hydrogen from electricity and deionized water via alkaline electrolysis pathway.

The functional unit of the process is the production of 1 kg of hydrogen at 200 bar and 25°C with a purity of >99.9 vol%.

The gate-to-gate system boundary starts with the inputs of deionized water as feedstock and ends with the production of industrial grade of hydrogen at gate, purity of 99.9%.

The flow values are based on mass and energy balance data obtained from I-BIOREF software (https://www.nrcan.gc.ca/maps-tools-publications/publications/energy-publications/publications/i-bioref-software-modeling-and-analysis-technical-economic-and-environmental-assessment-biorefinery/17887).
The modelling of the electrolysis itself is based on kinetic modelling for the calculation of cell potential according to the Ulleberg method using semi-empirical equations (Ulleberg, 2003).

The process has a significant amount of by-product oxygen is generated in the electrolyser. It can be utilized in some real application scenarios such as those integrating the electrolysis system with an existing host site (e.g. oil refinery, bio refinery producing renewable and sustainable fuels, etc.). However, the recovery of oxygen is out of the work scope of this study, so the oxygen is assumed to be vented directly out to the atmosphere and all of the environmental impacts are allocated to hydrogen productin.",hydrogen_alkaline_electrolysis_at_plant_99_9_33_ba
Version,00.01.002,hydrogen_alkaline_electrolysis_at_plant_99_9_33_ba
Last change,2025-02-17 10:56:25.854000,hydrogen_alkaline_electrolysis_at_plant_99_9_33_ba
Tags,,hydrogen_alkaline_electrolysis_at_plant_99_9_33_ba
Time,,hydrogen_alkaline_electrolysis_at_plant_99_9_33_ba
Valid from,2009-07-01 00:00:00,hydrogen_alkaline_electrolysis_at_plant_99_9_33_ba
Valid until,,hydrogen_alkaline_electrolysis_at_plant_99_9_33_ba
Description,,hydrogen_alkaline_electrolysis_at_plant_99_9_33_ba
Geography,,hydrogen_alkaline_electrolysis_at_plant_99_9_33_ba
Location,"Canada, Québec",hydrogen_alkaline_electrolysis_at_plant_99_9_33_ba
Description,"This process is developed based on inputs and electricty info from Quebec, CA hence it is representiave of this region. However, the process may be used in other regions, in which the composition of electricity is similar. ",hydrogen_alkaline_electrolysis_at_plant_99_9_33_ba
Technology,,hydrogen_alkaline_electrolysis_at_plant_99_9_33_ba
Description,"The alkaline electrolysis system is the core unit of the plant, and requires electricity and deionized water as inputs. High purity deionized water produced by a water demineralization system upstream of the electrolyser is needed to achieve long-term stability. Reverse osmosis (RO) technology is often used in the water demineralization process, in which the main operation inputs are electricity and chemicals. In addition to the product of purified water, the remaining brine, which is a mixture of water and solid wastes, has to be discharged. Since the final product from the plant is hydrogen at 200 bar and 25°C with a purity of >99.9 vol%, as already described in Section 6, this hypothetical hydrogen production plant will be complemented with a compression and cooling step after the electrolyser system. In addition to the primary product of hydrogen, a significant amount of by-product oxygen is generated in the electrolyser. It can be utilized in some real application scenarios such as those integrating the electrolysis system with an existing host site (e.g. oil refinery, bio refinery producing renewable and sustainable fuels, etc.). However, the recovery of oxygen is out of the work scope of this study, so the oxygen is assumed to be vented directly out to the atmosphere.",hydrogen_alkaline_electrolysis_at_plant_99_9_33_ba
Data quality,,hydrogen_alkaline_electrolysis_at_plant_99_9_33_ba
Process schema,,hydrogen_alkaline_electrolysis_at_plant_99_9_33_ba
Data quality entry,,hydrogen_alkaline_electrolysis_at_plant_99_9_33_ba
Flow schema,,hydrogen_alkaline_electrolysis_at_plant_99_9_33_ba
Social schema,,hydrogen_alkaline_electrolysis_at_plant_99_9_33_ba
UUID,2781f8aa-bb23-4f91-937e-a1b542116655,"hydrogen_autothermal reforming of natural gas, without carbon capture; at plant; 99.9%, 62.2 bar"
Name,"hydrogen; autothermal reforming of natural gas, without carbon capture; at plant; 99.9%, 62.2 bar","hydrogen_autothermal reforming of natural gas, without carbon capture; at plant; 99.9%, 62.2 bar"
Category,NRC LCI/Hydrogen pathways/Hydrogen production,"hydrogen_autothermal reforming of natural gas, without carbon capture; at plant; 99.9%, 62.2 bar"
Description,"This unit process produces hydrogen from deionized water, electricity and natural gas via autothermal reforming (ATR) pathway without carbon capture._x000D_
_x000D_
The functional unit of the process is the production of 1 kg of hydrogen at a default pressure level equal to 62.2 bar._x000D_
_x000D_
The gate-to-gate system boundary starts with the inputs of deionized water, electricity and natural gas as feedstock and ends with the production of industrial grade of hydrogen at gate, purity of 99.9%._x000D_
_x000D_
The ATR process combines partial oxidation and catalytic reforming to convert feed gas and oxygen into syngas within a single unit, generating both heat and hydrogen-rich gas. The resulting 99.99% pure hydrogen is pressurized and cooled before use, and the remaining tail gas is utilized to recover heat and offset electricity demand in the ATR system._x000D_
_x000D_
The process does not have co-products and all the environmental impacts are allocated to hydrogen production.","hydrogen_autothermal reforming of natural gas, without carbon capture; at plant; 99.9%, 62.2 bar"
Version,00.01.001,"hydrogen_autothermal reforming of natural gas, without carbon capture; at plant; 99.9%, 62.2 bar"
Last change,2025-02-17 10:58:33.874000,"hydrogen_autothermal reforming of natural gas, without carbon capture; at plant; 99.9%, 62.2 bar"
Tags,,"hydrogen_autothermal reforming of natural gas, without carbon capture; at plant; 99.9%, 62.2 bar"
Time,,"hydrogen_autothermal reforming of natural gas, without carbon capture; at plant; 99.9%, 62.2 bar"
Valid from,2002-01-01 00:00:00,"hydrogen_autothermal reforming of natural gas, without carbon capture; at plant; 99.9%, 62.2 bar"
Valid until,2022-01-01 00:00:00,"hydrogen_autothermal reforming of natural gas, without carbon capture; at plant; 99.9%, 62.2 bar"
Description,"This process was designed based on state-of-art ATR hydrogen production from deionized water, electricity and natural gas. The process parameters were collected based on industrial technical reports and scientific literature from 2002 to 2022.","hydrogen_autothermal reforming of natural gas, without carbon capture; at plant; 99.9%, 62.2 bar"
Geography,,"hydrogen_autothermal reforming of natural gas, without carbon capture; at plant; 99.9%, 62.2 bar"
Location,"Canada, Alberta","hydrogen_autothermal reforming of natural gas, without carbon capture; at plant; 99.9%, 62.2 bar"
Description,"This process is developed based on natural gas and electricty info from Alberta, CA hence it is representiave of this region. However, the process may be used in other regions, in which the composition of electricity is similar. ","hydrogen_autothermal reforming of natural gas, without carbon capture; at plant; 99.9%, 62.2 bar"
Technology,,"hydrogen_autothermal reforming of natural gas, without carbon capture; at plant; 99.9%, 62.2 bar"
