Unique Flow Name,Location,Most Similar Process
acrylic acid,,"Acrylic acids and derivatives (n=2, std=0.10)"
"activated carbon, granular",,Walnut FSC/PEFC 670 (kg/m3)
"aluminium oxide, metallurgical",,Aluminium Nitride
"Carbon dioxide, fossil",,Carbon dioxide
"chlorine, liquid",,"Carbon dioxide, liquid"
copper oxide,,"Carbon dioxide, liquid"
Deionized water,,Deionized water production
"electricity, high voltage",,Electricity Canada production
"electricity, high voltage, renewable energy products",,Electricity Canada production
"electricity, medium voltage",,Electricity Canada production
"heat, district or industrial, natural gas",,"Revap LNG (liquified natural gas) from US in EU for heat, ex"
monoethanolamine,,film PP+PVDC 62 mu in power plant
"natural gas, high pressure",,Natural gas Canada production
"nickel, class 1",,"Organobromides (class) (n=2, std=0.15)"
palladium,,"Palladium, CRM (primary)"
"sodium hydroxide, without water, in 50% solution state",,"Sodium Hydroxide, NaOH (European Chlor-Alkali Industry 2022)"
sulfuric acid,,"Sulfuric acid esters (n=1, std=-)"
"Water, cooling, unspecified natural origin, CA",,"Padouk, African natural forest 740 (kg/m3)"
"water, deionised",,Deionized water production
"wood chips, wet, measured as dry mass",,Wood chip Canada production
zinc oxide,,Zinc Oxide
"market for zinc oxide | zinc oxide | Cutoff, U",Global,Zinc Oxide
"market for zinc oxide | zinc oxide | Cutoff, U","Canada, Québec",Zinc Oxide
"market for zinc oxide | zinc oxide | Cutoff, U","Canada, Alberta",Zinc Oxide
"market for zinc oxide | zinc oxide | Cutoff, U","Canada, British Columbia",Zinc Oxide
"market for zinc oxide | zinc oxide | Cutoff, U",Rest-of-World,Zinc Oxide
"market for zinc oxide | zinc oxide | Cutoff, U",Canada,Zinc Oxide
"market for activated carbon, granular | activated carbon, granular | Cutoff, U",Global,"Silicon (purified) for electronics and PV cells, gross"
"market for activated carbon, granular | activated carbon, granular | Cutoff, U","Canada, Québec","Silicon (purified) for electronics and PV cells, gross"
"market for activated carbon, granular | activated carbon, granular | Cutoff, U","Canada, Alberta","Silicon (purified) for electronics and PV cells, gross"
"market for activated carbon, granular | activated carbon, granular | Cutoff, U","Canada, British Columbia","Silicon (purified) for electronics and PV cells, gross"
"market for activated carbon, granular | activated carbon, granular | Cutoff, U",Rest-of-World,"Silicon (purified) for electronics and PV cells, gross"
"market for activated carbon, granular | activated carbon, granular | Cutoff, U",Canada,"Silicon (purified) for electronics and PV cells, gross"
"market group for electricity, medium voltage | electricity, medium voltage | Cutoff, U",Global,Electricity Canada production
"market group for electricity, medium voltage | electricity, medium voltage | Cutoff, U","Canada, Québec",Electricity Canada production
"market group for electricity, medium voltage | electricity, medium voltage | Cutoff, U","Canada, Alberta",Electricity Canada production
"market group for electricity, medium voltage | electricity, medium voltage | Cutoff, U","Canada, British Columbia",Electricity Canada production
"market group for electricity, medium voltage | electricity, medium voltage | Cutoff, U",Rest-of-World,Electricity Canada production
"market group for electricity, medium voltage | electricity, medium voltage | Cutoff, U",Canada,Electricity Canada production
"market for acrylic acid | acrylic acid | Cutoff, U",Global,Formic acid by butane oxidation
"market for acrylic acid | acrylic acid | Cutoff, U","Canada, Québec",Formic acid by butane oxidation
"market for acrylic acid | acrylic acid | Cutoff, U","Canada, Alberta",Formic acid by butane oxidation
"market for acrylic acid | acrylic acid | Cutoff, U","Canada, British Columbia",Formic acid by butane oxidation
"market for acrylic acid | acrylic acid | Cutoff, U",Rest-of-World,Formic acid by butane oxidation
"market for acrylic acid | acrylic acid | Cutoff, U",Canada,Formic acid by butane oxidation
"market for sodium hydroxide, without water, in 50% solution state | sodium hydroxide, without water, in 50% solution state | Cutoff, U",Global,"Sodium Hydroxide, NaOH (European Chlor-Alkali Industry 2022)"
"market for sodium hydroxide, without water, in 50% solution state | sodium hydroxide, without water, in 50% solution state | Cutoff, U","Canada, Québec","Sodium Hydroxide, NaOH (European Chlor-Alkali Industry 2022)"
"market for sodium hydroxide, without water, in 50% solution state | sodium hydroxide, without water, in 50% solution state | Cutoff, U","Canada, Alberta","Sodium Hydroxide, NaOH (European Chlor-Alkali Industry 2022)"
"market for sodium hydroxide, without water, in 50% solution state | sodium hydroxide, without water, in 50% solution state | Cutoff, U","Canada, British Columbia","Sodium Hydroxide, NaOH (European Chlor-Alkali Industry 2022)"
"market for sodium hydroxide, without water, in 50% solution state | sodium hydroxide, without water, in 50% solution state | Cutoff, U",Rest-of-World,"Sodium Hydroxide, NaOH (European Chlor-Alkali Industry 2022)"
"market for sodium hydroxide, without water, in 50% solution state | sodium hydroxide, without water, in 50% solution state | Cutoff, U",Canada,"Sodium Hydroxide, NaOH (European Chlor-Alkali Industry 2022)"
"market for natural gas, high pressure | natural gas, high pressure | Cutoff, U",Global,Natural gas Canada production
"market for natural gas, high pressure | natural gas, high pressure | Cutoff, U","Canada, Québec",Natural gas Canada production
"market for natural gas, high pressure | natural gas, high pressure | Cutoff, U","Canada, Alberta",Natural gas Canada production
"market for natural gas, high pressure | natural gas, high pressure | Cutoff, U","Canada, British Columbia",Natural gas Canada production
"market for natural gas, high pressure | natural gas, high pressure | Cutoff, U",Rest-of-World,Natural gas Canada production
"market for natural gas, high pressure | natural gas, high pressure | Cutoff, U",Canada,Natural gas Canada production
"market for palladium | palladium | Cutoff, U",Global,"Palladium, CRM (primary)"
"market for palladium | palladium | Cutoff, U","Canada, Québec","Palladium, CRM (primary)"
"market for palladium | palladium | Cutoff, U","Canada, Alberta","Palladium, CRM (primary)"
"market for palladium | palladium | Cutoff, U","Canada, British Columbia","Palladium, CRM (primary)"
"market for palladium | palladium | Cutoff, U",Rest-of-World,"Palladium, CRM (primary)"
"market for palladium | palladium | Cutoff, U",Canada,"Palladium, CRM (primary)"
"market for aluminium oxide, metallurgical | aluminium oxide, metallurgical | Cutoff, U",Global,Silicon (metallurgical) for steel
"market for aluminium oxide, metallurgical | aluminium oxide, metallurgical | Cutoff, U","Canada, Québec",Silicon (metallurgical) for steel
"market for aluminium oxide, metallurgical | aluminium oxide, metallurgical | Cutoff, U","Canada, Alberta",Silicon (metallurgical) for steel
"market for aluminium oxide, metallurgical | aluminium oxide, metallurgical | Cutoff, U","Canada, British Columbia",Silicon (metallurgical) for steel
"market for aluminium oxide, metallurgical | aluminium oxide, metallurgical | Cutoff, U",Rest-of-World,Silicon (metallurgical) for steel
"market for aluminium oxide, metallurgical | aluminium oxide, metallurgical | Cutoff, U",Canada,Silicon (metallurgical) for steel
"market for monoethanolamine | monoethanolamine | Cutoff, U",Global,"Silicon (purified) for electronics and PV cells, gross"
"market for monoethanolamine | monoethanolamine | Cutoff, U","Canada, Québec","Silicon (purified) for electronics and PV cells, gross"
"market for monoethanolamine | monoethanolamine | Cutoff, U","Canada, Alberta","Silicon (purified) for electronics and PV cells, gross"
"market for monoethanolamine | monoethanolamine | Cutoff, U","Canada, British Columbia","Silicon (purified) for electronics and PV cells, gross"
"market for monoethanolamine | monoethanolamine | Cutoff, U",Rest-of-World,"Silicon (purified) for electronics and PV cells, gross"
"market for monoethanolamine | monoethanolamine | Cutoff, U",Canada,"Silicon (purified) for electronics and PV cells, gross"
