Is reference?,Flow,Category,Amount,Unit,Costs/Revenues,Currency,Uncertainty,(G)Mean | Mode,SD | GSD,Minimum,Maximum,Is avoided?,Provider,Data quality entry,Location,Description,Source_File,Contribution Category
x,"Hydrogen, 99.9%, 33 bar",NRC - LCI/Hydrogen production,1.0,kg,,,,,,,,,,,,,hydrogen_alkaline_electrolysis_at_plant_99_9_33_ba,NRC - LCI/Hydrogen production
,Oxygen,Elementary flows/Emission to air/unspecified,7.939223,kg,,,log-normal,8.11,1.1155437534545625,,,,,(2;2;3;2;1),,,hydrogen_alkaline_electrolysis_at_plant_99_9_33_ba,Elementary flows/Emission to air/unspecified
,"wastewater, average","E:Water supply; sewerage, waste management and remediation activities/37:Sewerage/370:Sewerage/3700:Sewerage",0.005013,l,,,,,,,,,"market for wastewater, average | wastewater, average | Cutoff, U",,Rest-of-World,Water out (refrigerated dryer),hydrogen_alkaline_electrolysis_at_plant_99_9_33_ba,"E:Water supply; sewerage, waste management and remediation activities/37:Sewerage/370:Sewerage/3700:Sewerage"
,"wastewater, average","E:Water supply; sewerage, waste management and remediation activities/37:Sewerage/370:Sewerage/3700:Sewerage",0.053258,l,,,,,,,,,"market for wastewater, average | wastewater, average | Cutoff, U",,Rest-of-World,Water out (O2 flash seperator),hydrogen_alkaline_electrolysis_at_plant_99_9_33_ba,"E:Water supply; sewerage, waste management and remediation activities/37:Sewerage/370:Sewerage/3700:Sewerage"
,"wastewater, average","E:Water supply; sewerage, waste management and remediation activities/37:Sewerage/370:Sewerage/3700:Sewerage",3.868421,l,,,,,,,,,"market for wastewater, average | wastewater, average | Cutoff, U",,Rest-of-World,Brine,hydrogen_alkaline_electrolysis_at_plant_99_9_33_ba,"E:Water supply; sewerage, waste management and remediation activities/37:Sewerage/370:Sewerage/3700:Sewerage"
,"Carbon dioxide, fossil",Elementary flows/Emission to air/unspecified,8.93,kg,,,log-normal,10.5,1.3173282737856964,,,,,(3;5;4;3;1),nan,,"hydrogen_autothermal reforming of natural gas, without carbon capture; at plant; 99.9%, 62.2 bar",Electricity
x,"Hydrogen, 99.9%, 62.2 bar",NRC - LCI/Hydrogen production,1.0,kg,,,log-normal,1.0,1.3173282737856964,,,,,(3;5;4;3;1),nan,"Hydrogen production from ATR systemtechnology. 30137.3 kg/h, purity: 99.9%, pressure: 62.2 bar.","hydrogen_autothermal reforming of natural gas, without carbon capture; at plant; 99.9%, 62.2 bar",Materials
,Nitrogen,Elementary flows/Emission to air/unspecified,12.622,kg,,,log-normal,163.825634,1.3173282737856964,,,,,(3;5;4;3;1),nan,,"hydrogen_autothermal reforming of natural gas, without carbon capture; at plant; 99.9%, 62.2 bar",Water Supply
,Sulfur dioxide,Elementary flows/Emission to air/unspecified,0.019,kg,,,log-normal,0.000371,1.31733,,,,,(3; 5; 4; 3; 1),nan,SO2,"hydrogen_autothermal reforming of natural gas, without carbon capture; at plant; 99.9%, 62.2 bar",Electricity
,Water,Elementary flows/Emission to air/unspecified,0.005,l,,,,,,,,,,,nan,,"hydrogen_autothermal reforming of natural gas, without carbon capture; at plant; 99.9%, 62.2 bar",Materials
